movie_id,actor_id,actor_name,character,popularity
11013,13548,James Spader,Mr. Grey,4.9032
11013,1579,Maggie Gyllenhaal,Lee Holloway,3.0725
11013,4654,Jeremy Davies,Peter,2.4581
11013,21818,Lesley Ann Warren,Joan Holloway,2.9115
11013,230,Stephen McHattie,Burt Holloway,2.064
1087040,3970030,Noelle Perdue,Self - Porn Industry Professional,0.4138
1087040,149066,Michael Stabile,"Self - Porn Industry Advocate / Director of Public Affairs, FSC",0.0
1087040,1100768,Siri Dahl,Self - Porn Performer,0.0
1087040,222346,Wolf Hudson,Self - Porn Performer,0.0
1087040,3970043,Martin Patriquin,"Self - Journalist, The Logic",0.1076
1084187,1483976,Maddie Ziegler,Bones,2.0485
1084187,1452046,Lana Condor,Princess,5.2187
1084187,963429,Iris Apatow,Zoe,1.3532
1084187,1815539,Millicent Simmonds,Chloe,0.9564
1084187,2749024,Avantika,Grace,2.7342
120,109,Elijah Wood,Frodo,4.395
120,1327,Ian McKellen,Gandalf,3.3335
120,110,Viggo Mortensen,Aragorn,7.2076
120,1328,Sean Astin,Sam,4.4823
120,65,Ian Holm,Bilbo,1.6874
1272837,5469,Ralph Fiennes,Dr Kelson,4.4597
1272837,85065,Jack O'Connell,Sir Jimmy Crystal,3.8294
1272837,5107934,Alfie Williams,Spike,0.9617
1272837,1672504,Erin Kellyman,Jimmy Ink,1.0923
1272837,1344320,Chi Lewis-Parry,Samson,1.399
803796,144279,Arden Cho,Rumi (voice),1.6601
803796,1948606,May Hong,Mira (voice),0.5247
803796,2983147,Ji-young Yoo,Zoey (voice),1.7394
803796,1571598,Ahn Hyo-seop,Jinu (voice),2.7813
803796,28662,Yunjin Kim,Celine (voice),1.8288
1234731,70851,Jack Black,Doug McCallister,5.8819
1234731,22226,Paul Rudd,Ronald Griffin Jr.,4.1187
1234731,18324,Steve Zahn,Kenny Trent,2.801
1234731,9030,Thandiwe Newton,Claire Simons,3.6654
1234731,1784612,Daniela Melchior,Ana Almeida,2.8033
967998,3457255,Aline Mineiro,Juliana,7.4945
967998,1878927,Ricardo Ramory,Davi,0.1246
967998,1659001,Ruben Espinoza,Matheus,0.1199
967998,1658998,Renato Siqueira,Paulo,0.1684
967998,3524576,Priscila Castello Branco,Fernanda,0.1906
479787,1075830,Nam Koong Won,,0.5995
479787,1079604,Lee Ki-seon,,0.6259
496243,20738,Song Kang-ho,Kim Ki-taek,2.4658
496243,115290,Lee Sun-kyun,Park Dong-ik,1.9151
496243,556435,Cho Yeo-jeong,Yeon-kyo,3.499
496243,1255881,Choi Woo-shik,Ki-woo,2.7298
496243,1442583,Park So-dam,Ki-jung,1.9279
